"id";"einrichtung";"bibo_nr";"traeger";"einrichtungsart";"strasse";"hnr";"hnrz";"plz";"url";"stichworte";"geom";"barrierefrei";"ds_modified"
256;"Medizinische Fachbibliothek des Deutschen Hygiene-Museums";"id_256";"Stiftung Deutsches Hygiene-Museum";"Bibliotheken";"Lingnerplatz";1;;"01069";"www.dhmd.de/sammlung/bibliothek";;"SRID=4326;POINT(13.74679733236276923947 51.04423291368896542508)";false;2025-04-24 12:17:09
991;"Bibliothek - Hochschule für Musik Dresden";"id_991";"Hochschule für Musik Carl Maria von Weber Dresden";"Bibliotheken";"Wettiner Platz";13;;"01067";"www.hfmdd.de/campus/bibliothek/";;"SRID=4326;POINT(13.72575922863590314194 51.05409818013285416782)";false;2025-04-24 12:17:35
373;"Sächsische Landesbibliothek - Staats- und Universitätsbibliothek Dresden - Zentralbibliothek";"id_373";"Freistaat Sachsen";"Bibliotheken";"Zellescher Weg";18;;"01069";"www.slub-dresden.de";;"SRID=4326;POINT(13.73687462541793635751 51.0286745994578581076)";false;2025-04-24 12:23:10
254;"Zentralbibliothek";"00";"Städtische Bibliotheken Dresden";"Bibliotheken_DD";"Schloßstraße";2;;"01067";"www.bibo-dresden.de/de/standorte/zentralbibliothek.php";;"SRID=4326;POINT(13.73831396897084644593 51.0506901479903021368)";true;2025-04-24 13:18:16
257;"Bibliothek Bühlau";"10";"Städtische Bibliotheken Dresden";"Bibliotheken_DD";"Bautzner Landstraße";130;;"01324";"www.bibo-dresden.de/de/standorte/bibliothek-buehlau.php";;"SRID=4326;POINT(13.84892871857377905087 51.06165931148429848463)";true;2025-04-24 13:18:16
260;"Bibliothek Laubegast";"11";"Städtische Bibliotheken Dresden";"Bibliotheken_DD";"Österreicher Straße";61;;"01279";"www.bibo-dresden.de/de/standorte/bibliothek-laubegast.php";;"SRID=4326;POINT(13.83898036265957465218 51.02377622501812481914)";true;2025-04-24 13:19:12
1007;"Bibliothek Pieschen";"02";"Städtische Bibliotheken Dresden";"Bibliotheken_DD";;;;;"www.bibo-dresden.de/de/standorte/bibliothek-pieschen.php";;"SRID=4326;POINT(13.72134280270952189085 51.07683232112348292731)";true;2025-04-24 13:19:26
545;"Haltestelle der Fahrbibliothek in Trachau, Kronenstraße; Freitag 16.30 - 18.30 Uhr";"id_545";"Städtische Bibliotheken Dresden";"Fahrbibliothek";;;;;"www.bibo-dresden.de/de/standorte/fahrbibliothek.php";;"SRID=4326;POINT(13.71437799577105209892 51.09286311575729655488)";true;2025-04-24 13:27:03
530;"Haltestelle der Fahrbibliothek in Kleinzschachwitz, Hosterwitzer Straße; Mittwoch 17 - 18.30 Uhr";"id_530";"Städtische Bibliotheken Dresden";"Fahrbibliothek";;;;;"www.bibo-dresden.de/de/standorte/fahrbibliothek.php";;"SRID=4326;POINT(13.8509456496007761217 51.00554126122769815765)";true;2025-04-24 13:23:16
534;"Haltestelle der Fahrbibliothek in Loschwitz, Alte Kirschplantage; Montag 13 - 15 Uhr";"id_534";"Städtische Bibliotheken Dresden";"Fahrbibliothek";;;;;"www.bibo-dresden.de/de/standorte/fahrbibliothek.php";;"SRID=4326;POINT(13.81902034745578156105 51.04971977174396613464)";true;2025-04-24 13:24:53
