"id";"einrichtung";"bezeichnung";"anschrift_verwaltung";"strasse";"hnr";"hnrz";"plz";"adr_nr";"stadtteil";"fon";"url";"e_mail";"geom";"ds_modified";"einrichtungsart";"url_www";"file_name"
51;"Friedhof Dölzschen";"KO01";"Löbtauer Straße 70";"Friedhofsweg";20;;"01187";14524;"94";"0351-43936060";"www.bestattungen-dresden.de/friedhoefe/friedhof-doelzschen/";"info@bestattungen-dresden.de, heidefriedhof@bestattungen-dresden.de";"SRID=4326;POINT(13.68230839665838871611 51.02640208132865495827)";2025-03-20 11:14:03;"Städtischer Friedhof";"https://stadtplan.dresden.de/getimage/image.ashx/?w=500&id=2223022&k=3446DA772876CEC9FDD86AD80BA1006E";"Lageplan_KO01_Friedhof Dölzschen.pdf"
41;"Friedhof Eschdorf";"EV10";"Hauptstraße 111, 01833 Dürrröhrsdorf-Dittersbach";"Kirchberg";3;;"01328";58257;"47";"035026-91409";"www.kirchspiel-dittersbach-eschdorf.de/";"kg.dittersbach@evlks.de";"SRID=4326;POINT(13.94189299494507494614 51.03505680863531779323)";2025-03-20 11:04:08;"Evangelischer Friedhof";"https://stadtplan.dresden.de/getimage/image.ashx/?w=500&id=2222978&k=80963E6B69088867FE9384B857278195";"Lageplan_EV10_Friedhof Eschdorf.pdf"
20;"Johannisfriedhof";"EV14";"Wehlener Straße 13";"Wehlener Straße";13;;"01279";46389;"55";"0351-2525202";"www.johannisfriedhof-dresden.de";"info@johannisfriedhof-dresden.de";"SRID=4326;POINT(13.81333472183653654497 51.03682647054214527316)";2025-03-20 11:05:06;"Evangelischer Friedhof";"https://stadtplan.dresden.de/getimage/image.ashx/?w=500&id=2222982&k=4614E538B92CDE6E5500CEAFBFDD3430";"Lageplan_EV14_Johannisfriedhof.pdf"
30;"Alter Annenfriedhof";"EV01";"Kesselsdorfer Str. 29";"Chemnitzer Straße";32;;"01187";9353;"81";"0351-4213261";"www.annenfriedhof-dresden.de/alter-annenfriedhof/";"annenfriedhoefe.dresden@evlks.de";"SRID=4326;POINT(13.71364498087046257524 51.03572889358007813598)";2025-03-20 10:56:55;"Evangelischer Friedhof";"https://stadtplan.dresden.de/getimage/image.ashx/?w=500&id=2222970&k=B3BB59FBC9F6294705F882CB2D33EA1D";"Lageplan_EV01_Alter Annenfriedhof.pdf"
27;"Friedhof Gittersee";"EV11";"Bernhardstraße 14";;;;;;"85";"0351-4010369";"www.kirche-gittersee.homepage.t-online.de/friedhof.htm";"friedhof-dresden-plauen@gmx.de";"SRID=4326;POINT(13.69594227900935656805 51.01041503428142931398)";2025-03-20 11:04:08;"Evangelischer Friedhof";"https://stadtplan.dresden.de/getimage/image.ashx/?w=500&id=2222979&k=36364F888F75F86D21D6893B28354F07";"Lageplan_EV11_Friedhof Gittersee.pdf"
17;"Loschwitzer Friedhof";"EV24";"Pillnitzer Landstraße 8";"Pillnitzer Landstraße";80;;"01326";35114;"41";"0351-2150050";"www.friedhof-loschwitz.de/";"kg.dresden_loschwitz@evlks.de";"SRID=4326;POINT(13.82238454145070249979 51.04587289399407978863)";2025-03-20 11:07:37;"Evangelischer Friedhof";"https://stadtplan.dresden.de/getimage/image.ashx/?w=500&id=2222992&k=933F12BBCD07919DE955857846856757";"Lageplan_EV24_Loschwitzer Friedhof.pdf"
28;"Innerer Plauenscher Friedhof";"EV29";"Bernhardstraße 141";"Reckestraße";6;;"01187";36976;"86";"0351-4010683";"www.friedhof-dresden-plauen.de/innerer-friedhof/";"friedhof-dresden-plauen@gmx.de";"SRID=4326;POINT(13.70533747732899243488 51.02918495346607130614)";2025-03-20 11:09:14;"Evangelischer Friedhof";"https://stadtplan.dresden.de/getimage/image.ashx/?w=500&id=2222998&k=D039C5B4B06AF42AE47EB288584EFDC4";"Lageplan_EV29_Innerer Plauenscher Friedhof.pdf"
49;"Heidefriedhof";"KO02";"Löbtauer Straße 70";"Moritzburger Landstraße";299;;"01129";31831;"24";"0351-43936060";"www.bestattungen-dresden.de/friedhoefe/heidefriedhof/";"heidefriedhof@bestattungen-dresden.de, info@bestattungen-dresden.de";"SRID=4326;POINT(13.70996484555699268526 51.10442880754013827982)";2025-03-20 11:14:03;"Städtischer Friedhof";"https://stadtplan.dresden.de/getimage/image.ashx/?w=500&id=2223027&k=645F62F34C32E9925CD1E2D66E00A8F0";"Lageplan_KO02_Heidefriedhof.pdf"
24;"Friedhof Lockwitz";"EV23";"Tögelstraße 1";;;;;;"74";"0351-2709440";"kirchspiel-dresden-sued.de/lockwitz/friedhof-lockwitz";"kirchspiel-dresden-sued.de";"SRID=4326;POINT(13.80446954585100627355 50.98445385745081637197)";2025-04-09 08:34:19;"Evangelischer Friedhof";"https://stadtplan.dresden.de/getimage/image.ashx/?w=500&id=2222991&k=351980662024F7DB897F925F46685255";"Lageplan_EV23_Friedhof Lockwitz.pdf"
42;"Friedhof Weixdorf";"EV41";"Königsbrücker Landstraße 375";"Hermsdorfer Allee";7;;"01108";64684;"35";"0351-8805228";"www.kirche-weixdorf.de";"kg.weixdorf@evlks.de";"SRID=4326;POINT(13.80932156322352177824 51.154514246622809992)";2025-03-20 11:11:02;"Evangelischer Friedhof";"https://stadtplan.dresden.de/getimage/image.ashx/?w=500&id=2223011&k=8AFCD40F1779E9E0228BF560FC2750B5";"Lageplan_EV41_Friedhof Weixdorf.pdf"
